global_step,mcc,train_loss,eval_loss,macro_f1,weighted_f1,accuracy
400,0.36399017106653647,0.7587381601333618,0.8793923445045948,0.4766395506932759,0.5041132459693501,0.5848101265822785
790,0.40617128678587633,0.8136575818061829,0.846830872988159,0.5984738056272133,0.6007994032890817,0.5911392405063292
800,0.3990220898443841,0.8690325617790222,0.8143340904604305,0.5954160044391216,0.6022765769247236,0.5911392405063292
1200,0.4569361763505003,0.6775350570678711,0.7857556454837322,0.6419035408079716,0.6560550640152724,0.6518987341772152
1580,0.42758580340340563,0.9194191694259644,0.8045383432710712,0.6038585156022861,0.6257743926077713,0.6417721518987342
1600,0.4128757416179748,0.11125239729881287,1.116742804646492,0.5534168243998278,0.5744760133922455,0.6215189873417721
2000,0.48717399033044007,0.2164914906024933,0.9290931640531529,0.6580591423880277,0.6705957744018112,0.6620253164556962
2370,0.4390087299843621,0.45559969544410706,0.9420278922400691,0.6182934633837355,0.6387275458837492,0.6379746835443038
2400,0.4576924118833005,0.7938579320907593,1.1092051970349117,0.6205258639261082,0.64524759845195,0.6582278481012658
2800,0.42146491035474826,0.0025409325025975704,1.9993151951242576,0.6187891623085591,0.6325241917732359,0.6253164556962025
3160,0.45131707748838035,0.0011511698830872774,1.9717406269840219,0.6415757972643478,0.6525187849742752,0.6468354430379747
3200,0.468771466972518,0.01023293286561966,1.842947161809372,0.6416477429186439,0.6601162684317395,0.6658227848101266
3600,0.4287181643931265,0.0003875599068123847,2.336404645730826,0.6214730302632762,0.6376377763996546,0.6316455696202532
3950,0.4408240465574772,0.000623903120867908,2.3750623123381627,0.6298989848006068,0.6454889062871104,0.6392405063291139
