global_step,mcc,train_loss,eval_loss,macro_f1,weighted_f1,accuracy
400,0.6754652068736956,0.42782288789749146,0.490071689456024,0.7727611823970467,0.7842173329159321,0.7924050632911392
790,0.7697398613413383,0.2935522198677063,0.4335097373801876,0.8472147607418828,0.8513658431177666,0.8493670886075949
800,0.7875339132040963,0.39818111062049866,0.3988752130800011,0.8533661627427883,0.8640155284471602,0.8645569620253165
1200,0.754311180819018,0.06434702128171921,0.5612939200364053,0.8261903803041898,0.8414881663335286,0.8405063291139241
1580,0.7813463926215097,0.015113125555217266,0.5640082035891034,0.8485345561368162,0.8585452734142406,0.8607594936708861
1600,0.7835132077453437,0.8481518030166626,0.5393626655462537,0.8499490538725413,0.8596162247312845,0.8620253164556962
2000,0.7777109994987261,0.001114808488637209,0.7297776333613332,0.8475953738065019,0.8582036249144063,0.8569620253164557
2370,0.8105905108630614,0.8238178491592407,0.6335194584244164,0.8719611669750172,0.8787657509649865,0.8784810126582279
2400,0.8111541410159875,0.013018971309065819,0.6002858359887878,0.8698576534955986,0.8784268964680044,0.879746835443038
2800,0.8000604502280918,0.0005940299015492201,0.7915425164354185,0.8643496282064965,0.872534830730486,0.8721518987341772
3160,0.7899223224561543,0.9875737428665161,0.8150860183738008,0.856940836940837,0.8653091128281002,0.8632911392405064
3200,0.8058344987762234,0.18501541018486023,0.791922412960048,0.8656418945613171,0.8742367472006891,0.8759493670886076
3600,0.8299232293108272,0.00017435419431421906,0.738296246317325,0.8840425965494333,0.8914852337962792,0.8911392405063291
3950,0.820436112993554,0.00020053265325259417,0.7592376908074088,0.8772131321774301,0.8854982400117095,0.8848101265822785
