global_step,mcc,train_loss,eval_loss,macro_f1,weighted_f1,accuracy
400,0.3423822501368334,0.7671687602996826,0.9487067969007925,0.5119144620948256,0.5484283899441319,0.5911392405063292
790,0.44767331540824556,0.5296506881713867,0.7524739703671499,0.6239071159452031,0.6438233740619012,0.649367088607595
800,0.4559833415949259,0.774730920791626,0.7519873411140658,0.6250678466394428,0.650996324263696,0.6582278481012658
1200,0.3901235150097383,0.4572441279888153,0.7852175501598553,0.5753817296643516,0.609385369767424,0.6164556962025316
1580,0.47956780766258156,0.752984344959259,0.795230915939266,0.6542712473658765,0.6698110396407525,0.6708860759493671
1600,0.4811173152614037,0.5177447199821472,0.9066991294649515,0.6361331352306879,0.6548016372635065,0.6721518987341772
2000,0.476004268348835,0.700231671333313,1.230681473389268,0.6452932078779705,0.6652928134174064,0.669620253164557
2370,0.47125291009352915,0.5466927289962769,1.312143605033105,0.6527428400738885,0.6626668594127966,0.6582278481012658
2400,0.48127327974055817,0.30370256304740906,1.3094299347563223,0.6461985456623264,0.6624469727017748,0.6721518987341772
2800,0.4781965748880121,0.36293715238571167,2.09393289077773,0.6556519156519157,0.6695239423593853,0.6645569620253164
3160,0.4520432920058564,0.10800926387310028,2.2038884183540093,0.6362512129108044,0.6533010678756066,0.6481012658227848
3200,0.4618869448412149,0.8024245500564575,2.036149840674956,0.6421881469407317,0.6586512424410719,0.660759493670886
3600,0.48532571789265255,6.962801126064733e-05,2.2941426565150986,0.6602422409898168,0.6734988431929196,0.6683544303797468
3950,0.46172299232724007,0.00020539369143079966,2.3991806879639626,0.6441713610815526,0.6579243771897085,0.6506329113924051
